No,登録日付,時間軸,費用規模,実現性難易度,タイトル,属性,概要,詳細,ポイント,生活シーン,参照
12,2016/04/30(Sat),前期,,,デマの災害情報が流れる可能性がある,被災者,長期の余震が続く場合は災害予報などでデマ情報が流れやすいので注意する。パニックにならず情報の配信元等をしっかり確認すること,"断続的に余震が続く災害のときは予報などでデマが発生する場合がある。特にSNSなどで根拠の無いデマや災害予報などが拡散するので注意すること。
特に「○月○日○時○分に地震が起こる」などのような具体的に日時を指定した予報はデマの可能性が極めて高いので注意すること。
デマの多くは人の不安を煽るための悪質な犯行であるため、パニックを起こさず情報の配信元をしっかり確認して判断してください。",デマの災害情報に注意する。情報は配信元を確認する,災害情報,
13,2016/04/30(Sat),中期,低,低,罹災証明書に添付する写真,被災者,家屋を整理する前の、被害情報がわかる写真を取る,被災した人たちが生活再建の支援金などを受けとるために必要,,再建,http://www.bousai.go.jp/taisaku/hisaisyagyousei/pdf/risaisyoumeisyo_gaiyou.pdf
14,2016/04/30(Sat),前期,,,生活道路情報がほしい,被災者,被災地近辺の道路の情報が少ない／手に入りにくい,オンラインには道路情報が公開されているが、必要とする人たちに届かない。紙でほしい。,誰がどう更新するかが問題,車での移動,
15,2016/04/30(Sat),前期,,,ボランティアの均等化,ボランティア,"震災後、時間が経つにつれて、
ボランティアの数が減少","どこに何人必要か？震災直後だけボランティアが
集まり過ぎる傾向があるので、ボランティア向けのポータルサイト
があれば、メディアで取り上げられている被災地だけに
ボランティアが集まるだけでなく、最適化が行えそう。","ボランティアの人格？
マッチング？",,
16,2016/04/30(Sat),前期,,,被災地の建物、ブロック塀などに近づかない,被災者,傾いた家屋やビル、ブロック塀などは突然倒壊する危険性があるので近づかない,"傾いた家屋やビル、ブロック塀などは突然倒壊する危険性があるので近づかないこと。一見大丈夫そうに見える建物でも内部が破壊されていて非常に脆くなっている場合がある。
また、急な余震等が起こっていつ倒壊するかわからないので建物や塀などには近づかず、なるべく開けた道路などを歩くこと。",建物や塀などには不用意に近づかない,外出、移動,
17,2016/04/30(Sat),前期,,,常にラジオを携帯しておく,被災者,地震、津波などの災害情報を常に携帯ラジオで聴けるようにしておく,"ラジオの災害情報は地震、津波、危険地域の情報などを常に配信している。自分の周囲の状況を常に確認しておくために携帯ラジオを常に持っておき、いつでも災害情報が聴けるようにしておく。
災害用携帯ラジオは携帯電話、スマートフォンに比べて電池の持ちもよく自己発電できるものもあるので電源の乏しい災害時には重宝する。",携帯ラジオを常に携帯して災害情報を確認する,災害情報,
18,2016/04/30(Sat),前期,,,まず身の安全を第一に考える,被災者・ボランティア,被災地の生活、作業では常に危険が伴うので何をするにもまず身の安全を第一に考えることが大切,"被災地での生活、ボランティア作業などではあらゆるところに危険が存在する。
生活行動、作業時において危険を感じた時には身の安全を第一に考え作業を中止し避難することも心構えとして大事である。
安易にとった行動がトラブルを起こし、二次災害を起こさないようくれぐれも気をつける。",身の安全が第一。危険な場所等での作業は断念することも重要。,生活全般,
19,2016/04/30(Sat),前期,,,ボランティアの教育・募集サイト,ボランティア,募集要員・応募要項をまとめ、限定することで混乱を防ぐ事が必要,地域により被災状況や足りていない人材も異なるために、詳細なまとめ情報サイトを作り、運営する,,,http://shienp.net/
20,2016/04/30(Sat),前期,,,ボランティアの教育・募集サイト,ボランティア,"
経験のないボランティアが被災地に行くだけでは
何の役にも立たない","何も経験がない方が、被災地に入って、
いきなりボランティアはできないし、被災者の方に
迷惑になるので、ボランティアをする際に必要な知識を
載せるサイトを作る","ボランティアが被災地に入る時
判断基準を作る。",,
21,2016/04/30(Sat),前期,,,総務省の防災アプリが便利かも,被災者,,,,,http://www.soumu.go.jp/menu_seisaku/ictseisaku/ictriyou/02ryutsu06_03000032.html
22,2016/04/30(Sat),前期,,,災害時のレシピ,被災者・ボランティア,ポリ袋でご飯おかゆの作り方等,,,,http://cookpad.com/search/%E7%81%BD%E5%AE%B3
23,2016/04/30(Sat),前期,,,炊き出し現場で簡単に作れる料理,被災者・ボランティア,岡山県による炊き出し現場で作れるレシピ集,,,,http://www.pref.okayama.jp/uploaded/life/104975_337589_misc.pdf
24,2016/04/30(Sat),前期,,,スマホの充電をいかに確保するか,被災者,情報収集や連絡などにスマホは必須！しかし電源が切れてしまうと途端に情報難民になってしまう。どう電源を確保するか,"①被災直後：スマホ用モバイルバッテリーに日ごろから充電しておくことで被災直後の対応は大丈夫
②避難生活時：スマホ用ソーラー充電器、スマホ用手回し充電器、乾電池式の充電器などを組み合わせて充電することで常に電源の確保が可能になる（それぞれの充電器には長所・短所があるので、組み合わせて使うことが重要）",,,
25,2016/04/30(Sat),前期,,,リアルタイムな必要情報の収集,被災者,何が何処で足りていないか、何処に行けば必要物資が余っているかなどのリアルタイム性の強い情報を検索したい,"対災害SNS情報分析システム(DISAANA)の有効活用
正確な情報を発信すれば、必要とする物資の精度も向上",Twitterに投稿された内容から、災害の被害状況や不足物資などを分析するシステムを活用。,,http://disaana.jp/rtime/search4pc.jsp?operation=demand&question=%E7%86%8A%E6%9C%AC%E7%9C%8C&searchFlag=BUAC&sensitivityMode=high&followersCount=0&createdAt=20990101&verifies=false&dropConds=1110&tSliderStaOnUser=720588641181979136
26,2016/04/30(Sat),通期,,,梅雨・夏を迎えるにあたってタオルケット、扇風機の配布が必要,被災者,気温、湿度が高い季節を迎えるにあたっては毛布、暖房器具の代わりにタオルケット、扇風機等の配布が必要となる,"梅雨、夏の時期にあっては寝具で毛布ではなくタオルケットの配布が必要となる。湿度等で不快指数が上がるため扇風機の配布も重要。避難所が体育館などになっている場合は空気の循環等にも気を配る必要がある。阪神淡路大震災時には梅雨を迎えるにあたってタオルケット一人2枚計算で39,200枚、扇風機2,439台を配布した。また、避難所となっている施設75箇所に網戸を設置。防虫剤の散布も行った。",季節によって寝具、冷暖房器具に気を配る必要がある,生活物資の配布,資料:「平成7年 兵庫県南部地震 神戸市災害対策本部民生部の記録」P10より情報を引用
27,2016/04/30(Sat),通期,,,食中毒に気をつける,被災者,避難場所等での食中毒対策が必要。特に梅雨、夏の時期,"高温多湿になる季節にあっては食中毒対策が必要となる。食品の管理、避難場所の管理上対策が必要。
阪神淡路大震災では食中毒防止のため、保冷コンテナ20フィート62基、保冷庫46基、冷蔵庫272台を各避難所へ配置した。",食中毒対策をする。食品管理、避難所の管理で対策する,食料,資料:「平成7年 兵庫県南部地震 神戸市災害対策本部民生部の記録」P10より情報を引用
28,2016/04/30(Sat),通期,,,テント村の梅雨・夏対策,被災者,テント村の梅雨・夏対策として防暑シート、ブルーシート、すのこ等が有効,"テント村では梅雨・夏対策として防暑シートや雨対策のブルーシート、日よけのすのこなどが有効となる。
阪神淡路大震災ではテント村の梅雨・夏対策として、防暑シート約20ヶ所1000枚や雨対策用のブルーシート、浸水防止のための木製パレット（すのこ）の配布を実施した。",テント村では雨対策、浸水対策が必要,避難所,資料:「平成7年 兵庫県南部地震 神戸市災害対策本部民生部の記録」P10より情報を引用
29,2016/04/30(Sat),前期,,,避難所の環境改善対策物資一覧,避難所,避難所における環境改善のための必要物資の一覧,"プライバシー対策: 間仕切りパネル、簡易更衣室
寒さ対策: 毛布、断熱マット、畳、石油ストーブ、灯油
環境衛生対策: 洗濯機、物干し、仮説風呂・シャワー、無臭トイレ・防腐剤、毛布の消毒・クリーニング
自炊支援対策: 共同調理設備、プロパンガス、大型鍋、豚汁セット
暑さ対策: 扇風機、タオルケット、網戸、防虫剤
テント対策: 防暑シート、ブルーシート、木製パレット
食中毒対策: 保冷コンテナ、保冷蔵、冷蔵庫",環境改善に必要な物資,避難所,資料:「平成7年 兵庫県南部地震 神戸市災害対策本部民生部の記録」P10より情報を引用
30,2016/04/30(Sat),前期,,,ボランティアのマッチング,ボランティア,現地で求められているニーズとボランティア参加者のニーズ（何がやりたいか）をマッチングする仕組み（アプリケーション）を作る,"現地で求められているボランティアの仕事とボランティアに来ている人のやりたいことが合っていないことがあって困る。
具体的なケースとしては、仕切りたいボランティアが多く、混乱してしまう。事前にニーズを出しておいて、それに応える前提でボランティアが参加する仕組みを作る",,,
31,2016/04/30(Sat),前期,,,ボランティア教育,ボランティア,普段から勉強する場を作る,,,,http://bylines.news.yahoo.co.jp/kimuramasato/20160423-00056948/
32,2016/04/30(Sat),前期,,,ボランティア診断アプリ,ボランティア,現地に支援に行くべきかを自己判断するのに使う,,,,
33,2016/04/30(Sat),前期,,,子供のための心理的応急処置方法,被災者,被災した子供達の心理的ケア,強いストレスから子供達を守る方法について、知っておく、まとめが有ることを知っておく,,健康,http://www.savechildren.or.jp/lp/kumamotopfa/
34,2016/04/30(Sat),前期,,,女性が安心できる、安全な避難所づくり,避難所,女性、子供達が安心して過ごす事ができる、安全な避難所づくりが設営当初から必要,設営ノウハウ等はマニュアル化し備えておく,,避難所,http://bylines.news.yahoo.co.jp/kimuramasato/20160422-00056920/
35,2016/04/30(Sat),中期（２週間～1か月）,,,重たい水を簡単に運びたい,被災者,重たい水を女性やお年寄りでも簡単に運ぶことができる工夫が紹介されています．,URL参照,,断水時,http://www.nhk.or.jp/sonae/douga/hinanseikatsu_0025.html
36,2016/04/30(Sat),中期（２週間～1か月）,,,新聞紙やラップで防寒対策,被災者,新聞紙やラップを巻き付ける,URL参照,,健康、防寒,http://www.nhk.or.jp/sonae/douga/hinanseikatsu_0023.html
37,2016/04/30(Sat),中期,,,ペットボトルを使った節水のアイデア,被災者,ペットボトルの蓋に画鋲で穴をあけることによる節水のアイデアが紹介されています．,URL参照,,断水時,http://www.nhk.or.jp/sonae/douga/hinanseikatsu_0019.html
38,2016/04/30(Sat),中期,,,避難所のゴミ処分,避難所,救援物資を積んできたトラックが空になった荷台にごみを積んで持ち帰る,URL参照,,行政、ごみ,http://www.nhk.or.jp/sonae/douga/hinanseikatsu_0030.html
39,2016/04/30(Sat),中期,,,洗い物を出さない工夫,被災者,水を節約するための，洗い物を出さない工夫が紹介されています．,URL参照,,食事、断水時,http://www.nhk.or.jp/sonae/douga/hinanseikatsu_0034.html
40,2016/04/30(Sat),中期,,,冷えを防止,被災者,タオル、ニット帽、レジ袋をかぶる,URL参照,,健康、防寒,http://www.nhk.or.jp/sonae/douga/hinanseikatsu_0022.html
41,2016/04/30(Sat),中期,,,今すぐできる肩こり解消術,被災者,狭い避難所や車内での避難生活で起こる肩こりの対処方法,URL参照,,健康,http://www.nhk.or.jp/sonae/douga/hinanseikatsu_0018.html
42,2016/04/30(Sat),中期,,,配給食糧を使った料理,被災者・ボランティア,おにぎりや食パンなど配給される食材を使った暖かい料理の作り方が紹介されています．,URL参照,,食事,http://www.nhk.or.jp/sonae/douga/hinanseikatsu_0036.html
43,2016/04/30(Sat),中期,,,テント避難生活時の雨対策,避難所,テント避難生活時の雨対策,URL参照,,仮説住居,http://www.nhk.or.jp/sonae/douga/hinanseikatsu_0032.html
44,2016/04/30(Sat),中期（～1か月：ガス停止時）,,,空き缶コンロで温かいごはん,被災者,空き缶、サラダオイルなどを使って火を使った調理をする方法,URL参照,,食事、ガス停止時,http://www.nhk.or.jp/sonae/douga/hinanseikatsu_0024.html
45,2016/04/30(Sat),中期（～1か月：断水時）,,,水がない時の歯磨き,被災者,水がない時の歯磨き方法や、唾液を出すことでの口腔ケア方法,URL参照,,健康、断水時,http://www.nhk.or.jp/sonae/douga/hinanseikatsu_0020.html
46,2016/04/30(Sat),中期（２週間～1か月）,,,段ボールとバスタオルで作る赤ちゃん用簡易ベッド,被災者,段ボールとバスタオルで作る赤ちゃん用簡易ベッドを作る方法,URL参照,,乳幼児ケア,http://www.nhk.or.jp/sonae/douga/hinanseikatsu_0021.html
47,2016/04/30(Sat),通期,,,仮設住宅での不正入居の対処,仮設住宅,仮設住宅の管理では新規受入のために空き住宅の確保、不正入居に対する厳格な対処が必要となる,"中長期的な仮設住宅の運営にあたっては新規受入のために空き住宅の確保、不正入居に対する厳格な対処が必要となる。
阪神淡路大震災での神戸市の運営では、鍵渡し後の市住宅供給公社の日常的な管理や入居者へのアンケート調査、また各機関が把握している入居者情報や団地自治会の情報、住民からの通報、さらに公営住宅への入居といった住宅確保の情報など、各種の情報を突合するとともに、前述の入居者の実態調査により状況把握を行った。名簿に名前がない者が入居しているいわゆる不正入居は、入居者に対する事情聴取など事実関係を調査確認し、厳格に退去指導を行った。",新規受入のため、不正入居には厳格に対処する,仮設住宅の運営,資料: 神戸市生活再建本部 「阪神・淡路大震災 神戸の生活再建・５年の記録」より引用
48,2016/04/30(Sat),後期,,,仮設住宅での孤独死の防止,仮設住宅,仮設住宅での孤独死を防止する対策が必要,"仮設住宅での高齢者等の孤独死を防ぐためには個人のプライバシーにまで踏み込む形での安否確認が必要となる。
阪神淡路大震災時の神戸市では、近隣や支援者の情報をふまえ、一定期間張り紙で連絡を請うとしたうえで、必要と判断された場合には、警察官立会のもと鍵の付け替えをし、安否確認を進めていった。その結果として、生活実態のない空き家として確認された住戸も多くあり、これらについては職権による契約解除を行った。",仮設住宅での孤独死を防ぐ対策が必要,仮設住宅の運営,資料: 神戸市生活再建本部 「阪神・淡路大震災 神戸の生活再建・５年の記録」より引用
49,2016/04/30(Sat),,,,市外・県外避難者への広報誌の郵送,広報,神戸市では市外・県外避難者にむけて広報誌の郵送サービスを行った,神戸市では平成7年4月1日から広報誌の市外郵送サービスをスタートし、毎月1日発行の「全市版」と15日発行の「各区版」を登録者の手元に郵送した。このサービスの呼びかけにあたっては、全国の自治体広報誌に記事を掲載いただいたほか、テレビスポットなどマスメディアも活用した。当初の登録者数は5百世帯程度であったが、毎月飛躍的に登録者が増加し、3ヶ月後の7月1日号の送付対象者は1万世帯を突破した。しかし、ここから増加のペースがきわめてゆるやかになり、平成7年12月1日号の約1万2千5百世帯をピークに漸減した。,市外・県外避難者への情報配信・共有の対策,情報配信,資料: 神戸市生活再建本部 「阪神・淡路大震災 神戸の生活再建・５年の記録」より引用
50,2016/04/30(Sat),前期,低,低,ボランティアの駐車場確保,ボランティア,シェアリングエコノミーの情報活用,被災者や支援者、ボランティアらに駐車スペースを無料で提供している情報を活用し、スペースを確保する。,,情報配信,https://sharing-economy.jp/news/20160422/
51,2016/04/30(Sat),前期,,低,無償で利用できるオフライン地図,ボランティア,通信環境がなくてもスマホで利用できる地図,"MapFan+（マップファンプラス）が期間限定で九州地方の地図を無償ダウンロード提供。
ボランティアへ向かう場合等に有効活用できる可能性。
通信を利用しなくても済む事で、被災地の回線混雑緩和等のメリットもあるかと。",,外出、移動,http://internetcom.jp/200600/kumamoto-mapfan-plus
